product_id,product_name,brands,energy,saturated_fats,sugars,eco_score_num,nutri_score_num,nova_score_num,product_additive_count
9484,Space Mix -,,334.00,0.20,54.50,,4.00,4.00,6.00
9485,Chocolate puro para fundir - Simpl,Simpl,516.00,18.00,54.00,5.00,5.00,4.00,1.00
9486,muesli malteado 400g - el Granero integral,el Granero integral,356.00,0.27,6.10,3.00,2.00,3.00,
9487,Dúo pastel de atún y libritos de lomo con jamón cocido y queso fritos - Bo de debó,Bo de debó,280.00,2.40,2.20,,,4.00,9.00
9488,Crema verduras mediterraneas - Carrefour,Carrefour,36.00,0.20,1.20,2.00,2.00,3.00,
9489,Membrillo sin gluten ecológico - Santa Teresa,Santa Teresa,288.00,0.50,49.00,2.00,3.00,3.00,
9490,Choclitos limon,Frito lay,483.00,13.80,0.00,2.00,5.00,4.00,2.00
9491,Patatas fritas en aceite de oliva - Espinaler,Espinaler,533.00,4.00,0.60,2.00,3.00,3.00,
9492,Aceite de oliva virgen extra Hojiblanca,El Corte Inglés,900.00,14.00,0.00,4.00,3.00,2.00,
9493,Salsa de Soja Tradicional (Sin Gluten) - TIGER KHAN,TIGER KHAN,40.00,0.00,0.00,2.00,3.00,3.00,
9494,Espárragos blancos primera muy gruesos 6 a 12 piezas - el cultivador,el cultivador,21.00,0.10,1.70,2.00,3.00,1.00,1.00
9495,Sardina aceite oliva msc rr-125 - Carrefour,Carrefour,234.00,0.40,0.00,4.00,2.00,3.00,
9496,Leche entera minibrik,Carrefour,63.00,2.30,4.60,4.00,2.00,1.00,
9497,Barrita Proteica Sabor Chocolate - Nutrisport,Nutrisport,391.00,6.52,20.00,,4.00,4.00,6.00
9498,Leche Condensada - Consum,Consum,322.00,5.70,55.00,2.00,5.00,3.00,
9499,Rúcula,Carrefour,32.00,0.10,0.40,2.00,1.00,1.00,
9500,Azúcar blanco,Acor,400.00,0.00,100.00,2.00,4.00,2.00,
9501,Aceite de Oliva Virgen Extra,Abril,819.00,12.00,0.00,4.00,3.00,2.00,
9502,Ciruela Pasa sin hueso - Eliges,Eliges,203.00,0.20,42.00,5.00,4.00,4.00,2.00
9503,Botellitas Cola - Consum,Consum,336.00,0.00,62.00,,,4.00,7.00
9504,Piña sabor Coco - Carrefour,Carrefour,28.00,0.00,5.00,,4.00,4.00,4.00
9505,Salsa de quesos - Carrefour,"Carrefour, Carrefour extra",143.00,5.30,3.30,3.00,4.00,4.00,4.00
9506,Cuajada desnatada - Goshua,Goshua,41.00,0.10,4.50,,1.00,4.00,1.00
9507,Natillas de chocolate con bizcocho - dia,Dia,158.00,2.90,21.10,,3.00,4.00,8.00
9508,Rice - Slendier,Slendier,10.00,1.00,1.00,4.00,2.00,1.00,
9509,Vanini,"Vanini, ICAM",630.00,33.00,2.00,4.00,4.00,3.00,
9510,Panetone Relleno Chocolate - Carrefour,Carrefour,380.00,9.70,25.00,4.00,5.00,4.00,5.00
9511,Tortas - Carrefour,Carrefour,252.00,2.40,1.80,,2.00,4.00,2.00
9512,Savoritz,Savoritz,500.00,3.57,7.14,2.00,5.00,4.00,9.00
9513,Paté Boletus & Berenjena - Deluxe,Deluxe,328.00,4.10,2.00,,4.00,3.00,2.00
9514,Ceci biologici - coop,Coop,127.00,0.00,0.00,2.00,1.00,3.00,
9515,Slim Cake - Vanilla - Clean foods,"Clean foods, CleanFoods",73.00,0.00,0.24,,,4.00,6.00
9516,Apple strudel cookies - Danesita,Danesita,457.00,9.10,35.00,2.00,5.00,4.00,7.00
9517,Pavo con trufa y boletus - El pozo,El pozo,89.00,0.80,1.40,5.00,4.00,4.00,8.00
9518,Talitas - Don Satur,Don Satur,500.00,10.00,33.30,2.00,5.00,3.00,
9519,British skimmed milk - Aldi,"Aldi, Cowbelle",35.00,0.10,5.00,3.00,1.00,1.00,
9520,Salchichon velita ibérico bellota - Sierra de las Bellotas,Sierra de las Bellotas,469.00,15.70,0.02,,5.00,4.00,5.00
9521,nectar de fruta natural Piña - watt's,watt's,21.00,0.00,4.80,,2.00,4.00,6.00
9522,Agua naranja zero,Carrefour,4.00,0.00,1.00,,3.00,4.00,6.00
9523,Atún Claro - Eliges,Eliges,95.00,0.70,0.00,4.00,1.00,3.00,
9524,Helado tarrina vainilla sin azúcar - Carrefour,Carrefour,149.00,6.30,0.00,2.00,3.00,4.00,9.00
9525,Jacobs,Jacobs,404.00,8.10,57.00,,,4.00,4.00
9526,Aceite de girasol - Eliges,Eliges,826.00,9.90,0.00,3.00,4.00,2.00,
9527,Gazpacho tradicional - El Corte Inglés,El Corte Inglés,45.00,0.70,2.70,1.00,1.00,3.00,
9528,Long chips creamy dill,Long chips,534.00,3.00,1.30,1.00,4.00,4.00,7.00
9529,Beyond Sausage - Beyond meat,Beyond meat,249.00,5.20,0.10,2.00,4.00,4.00,2.00
9530,Zucaritas sabor Chocolate con Malvaviscos,kellogg's,380.00,2.00,46.00,,,4.00,2.00
9531,Huel Powder v3.0,Huel,400.00,2.30,0.60,,,4.00,5.00
9532,Stir-in pasta sauce carbonara,Dolmio,135.00,6.80,1.30,,4.00,4.00,3.00
9533,Fideos sin gluten,Gallo,363.00,1.30,0.70,,2.00,4.00,1.00
9534,Frutas y leche sabor caribe Carrefour classic,Carrefour,27.00,0.00,5.50,,,4.00,4.00
