,Product Name,Brands,NOVA 4,Nutri-Score,Countries,Additives,Eco-Score,Energía,Grasas saturadas,Azúcares
692,Tomato ketchup - Heinz - 700 g,Heinz,Alimentos procesados,D,"Bélgica, Dinamarca, Francia, Portugal, España, Suiza, Turquía","u, n, k, n, o, w, n",Eco-Score B,431 kj(103 kcal),0 g,"22,8 g"
693,Bocados originales - Heura - 160 g,Heura,Alimentos ultraprocesados,A,"Francia, España","u, n, k, n, o, w, n",El Eco-Score no pudo ser calculado,525 kj(126 kcal),"0,5 g",0 g
694,Queso Gouda - 300 g,"u, n, k, n, o, w, n",Nivel de procesamiento de alimentos desconocido,D,"Rumania, España","u, n, k, n, o, w, n",Eco-Score D,1443 kj(345 kcal),"19,3 g",0 g
695,Pétales au chocolat - Carrefour-Bio - 375 g,Carrefour-Bio,Alimentos ultraprocesados,B,"Bélgica, Francia, España","u, n, k, n, o, w, n",Eco-Score C,1586 kj(379 kcal),"1,6 g",25 g
696,Activia bífidus natural desnatado 0% - Danone - 500 g (4 x 125 g),Danone,Alimentos procesados,A,"Francia, España","u, n, k, n, o, w, n",El Eco-Score no pudo ser calculado,176 kj(42 kcal),"0,2 g",5 g
697,Jamon cocido - Hacendado - 200g,Hacendado,Alimentos ultraprocesados,C,España,"E250 - Nitrito sódico, E301 - Ascorbato sódico, E407 - Carragenatos, E451 - Tripolifosfatos, E451i - Trifosfato de pentasodio",Eco-Score E,423 kj(101 kcal),"0,9 g","0,9 g"
698,Salsa Barbacoa Cero - Prima - 325 g,Prima,Alimentos ultraprocesados,C,"Francia, España","E14XX - Almidón modificado, E202 - Sorbato potásico, E211 - Benzoato sódico, E955 - Sucralosa",Eco-Score B,155 kj(37 kcal),0 g,"1,4 g"
699,Bagels clasico - Bimbo - 300 g,Bimbo,Alimentos ultraprocesados,A,"Portugal, España","E200 - Ácido sórbico, E202 - Sorbato potásico, E282 - Propionato de calcio, E300 - Ácido ascórbico",Eco-Score B,1209 kj(286 kcal),"0,8 g",11 g
700,Cookie avell choc - Carrefour - 200 g,Carrefour,Alimentos ultraprocesados,E,"Francia, Italia, España","E322 - Lecitinas, E450 - Difosfatos, E500 - Carbonatos de sodio",Eco-Score D,2055 kj(491 kcal),11 g,33 g
701,Coca Cola zéro - 33 cl,"Coca-Cola, The Coca-Cola Company",Alimentos ultraprocesados,B,"Bélgica, Francia, España, Suiza","E150d - Caramelo de sulfito amónico, E331 - Citratos de sodio, E338 - Ácido fosfórico, E950 - Acesulfamo K, E951 - Aspartamo",Eco-Score aún no aplicable,"1,6 kj(0 kcal)",0 g,0 g
702,"Nestea té negro-limón - Coca-Cola - 1,5 l",Coca-Cola,Nivel de procesamiento de alimentos desconocido,D,"Francia, España, Suiza","u, n, k, n, o, w, n",Eco-Score aún no aplicable,80 kj(19 kcal),0 g,"4,6 g"
703,Gaufrettes Kinder Bueno Mini Chocolat au lait - 108G - 108 g,Kinder,Alimentos ultraprocesados,E,"Bélgica, Francia, España","E322 - Lecitinas, E322i - Lecitina, E500 - Carbonatos de sodio, E500ii - Bicarbonato de sodio, E503 - Carbonatos de amonio, E503ii - Bicarbonato de amonio",Eco-Score D,2384 kj(572 kcal),"17,3 g","41,2 g"
704,Mini hamburguesas Vegetales con guisantes y espinacas - Kioene - 200 g (4 x 50 g),Kioene,Alimentos ultraprocesados,B,"Portugal, España",E202 - Sorbato potásico,Eco-Score B,1147 kj(275 kcal),"2,2 g","0,5 g"
705,Tortas de aceite - Inés Rosales - 180 g (6 x 30 g),Inés Rosales,Alimentos procesados,C,España,"u, n, k, n, o, w, n",El Eco-Score no pudo ser calculado,2063 kj(493 kcal),"3,3 g",17 g
706,Cereales chocolate Linnea V - Hacendado - 450 g,Hacendado,Alimentos ultraprocesados,C,España,"E306 - Extracto rico en tocoferoles, E322 - Lecitinas, E322i - Lecitina",Eco-Score C,1729 kj(413 kcal),4 g,20 g
707,Tomato sauce with Basil - ITALIAMO - 700g,"ITALIAMO, FRESHONA",Alimentos procesados,A,"Bélgica, Bulgaria, República Checa, Francia, Alemania, Polonia, España, Suiza",E330 - Ácido cítrico,Eco-Score A,153 kj(36 kcal),0 g,"5,7 g"
708,Galletas bretonas - Interdis - 100 g,"Interdis, Reflets de France, Carrefour",Alimentos procesados,E,"Francia, Italia, España","u, n, k, n, o, w, n",Eco-Score B,2145 kj(512 kcal),17 g,30 g
709,100% zumo natural zumo de naranja sin pulpa - Carrefour - 1 l,Carrefour,Alimentos no procesados o mínimamente procesados,C,"Francia, Italia, España, Suiza","u, n, k, n, o, w, n",Eco-Score C,160 kj(38 kcal),0 g,"8,7 g"
710,Bulgur & lentejas - Carrefour - 400 g (2 x 200 g),Carrefour,Alimentos no procesados o mínimamente procesados,A,"Francia, Italia, España","u, n, k, n, o, w, n",Eco-Score B,1457 kj(345 kcal),"0,5 g","0,9 g"
711,Dolce Gusto Café con leche - Nescafé - 160 g,Nescafé,Alimentos ultraprocesados,E,"Francia, España, Suiza, Reino Unido","E322 - Lecitinas, E322i - Lecitina, E331 - Citratos de sodio, E331iii - Citrato trisódico, E340 - Fosfatos de potasio, E340ii - Fosfato dipotásico",Eco-Score E,1670 kj(400 kcal),"12,5 g","29,1 g"
